Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 03/23  03:00:00,55.5425311485,0.0,0.0,0.0,15.863942322,29.242365,6.08927002092,0.0,3.20568,2.88359002092
 03/23  04:00:00,55.7489263483,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 03/23  05:00:00,55.7340065827,0.0,0.0,0.0,15.863942322,29.242365,6.08933608985,0.0,3.20568,2.88365608985
 03/23  06:00:00,61.4405530444,6.44637968467,0.0,0.0,15.863942322,29.818365,145.932851079,142.707171079,3.20568,0.02
 03/23  07:00:00,119.075754573,6.44637968467,0.00124077499978,0.0,80.527626,29.818365,119.831547421,113.738873116,3.20568,2.88699430482
 03/23  08:00:00,164.385278926,6.44637968467,0.114253626125,0.0,80.527626,75.0917375,73.62346858,40.9125661327,24.0426,8.66830244728
 03/23  09:00:00,166.282681514,6.53033418291,1.8835757129,0.0,80.527626,75.0917375,59.3836764589,20.8235152883,24.0426,14.5175611706
 03/23  10:00:00,173.826702833,7.01269184562,4.91213562319,0.0,80.527626,79.0911225,63.1471245175,13.661520671,32.0568,17.4288038465
 03/23  11:00:00,177.818593064,7.75493550348,7.42618818784,0.0,80.527626,79.0911225,49.5192823708,0.0,32.0568,17.4624823708
 03/23  12:00:00,180.322621416,8.6402143361,9.7329517427,0.0,80.527626,79.0911225,49.5513602571,0.0,32.0568,17.4945602571
 03/23  13:00:00,178.310067212,9.35135243292,10.9883635547,0.0,80.527626,75.0917375,41.4170390758,4.9624721843,16.0284,20.4261668915
 03/23  14:00:00,175.300763705,9.44513626866,7.9111012389,0.0,80.527626,75.0917375,42.6861772534,9.23578474974,16.0284,17.4219925037
 03/23  15:00:00,169.880651014,9.39253258097,4.58733254829,0.0,80.527626,73.092045,34.1114406758,16.3713305511,3.20568,14.5344301248
 03/23  16:00:00,165.680056414,7.30319855986,2.59578330472,0.0,80.527626,73.092045,23.8146190321,17.7219995877,3.20568,2.88693944448
 03/23  17:00:00,120.271668605,6.45446949454,1.32284270352,0.0,80.527626,29.818365,25.4587697935,19.366117583,3.20568,2.88697221046
 03/23  18:00:00,119.808602507,6.44637968467,0.870901539986,0.0,80.527626,29.818365,29.7685575679,20.797123095,3.20568,5.76575447296
 03/23  19:00:00,128.575826482,6.44637968467,0.836692780812,0.0,80.527626,29.818365,30.355750379,21.3774325982,3.20568,5.77263778085
