Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/12  15:00:00,1283.59737537,116.130201236,379.799051143,0.0,243.2593065,302.612436532,352.611864897,260.83536129,56.6466996096,35.1298039979
 07/12  16:00:00,1296.10121894,118.88755813,380.279534474,0.0,243.2593065,310.10971186,333.530665898,222.154939203,84.9700494144,26.4056772806
 07/12  17:00:00,1306.16330142,123.704293068,383.467196504,0.0,243.2593065,310.10971186,290.764247175,188.335173005,84.9700494144,17.4590247558
 07/12  18:00:00,998.15690152,94.7147699866,376.055746765,0.0,166.938926447,199.110933808,315.70969845,222.025971724,84.9700494144,8.71367731238
 07/12  19:00:00,1002.6380672,94.7147699866,386.288227746,0.0,166.938926447,191.61365848,357.013826707,282.95814135,56.6466996096,17.4089857467
 07/12  20:00:00,918.924135765,94.7147699866,418.267588183,0.0,100.150657288,124.558693486,430.745696109,356.690924489,56.6466996096,17.4080720097
 07/12  21:00:00,895.248923141,94.7147699866,435.027311309,0.0,100.150657288,124.558693486,420.971795808,369.789975314,42.4850247072,8.69679578633
 07/12  22:00:00,832.186331917,94.7147699866,440.228119555,0.0,46.0930336215,124.558693486,428.663450821,391.645494886,28.3233498048,8.69460613051
 07/12  23:00:00,829.221218023,94.7147699866,436.04907679,0.0,46.0930336215,124.558693486,430.275203157,398.744181815,14.1616749024,17.3693464403
 07/12  24:00:00,816.208226684,94.7147699866,435.316516655,0.0,46.0930336215,113.312780494,417.967718696,403.608301726,5.66466996096,8.69474700964
 07/13  01:00:00,817.63171684,94.7147699866,436.895437941,0.0,46.0930336215,113.312780494,422.553413838,408.193977663,5.66466996096,8.69476621434
 07/13  02:00:00,814.400583338,94.7147699866,433.378750835,0.0,46.0930336215,113.312780494,434.618852948,411.584550473,5.66466996096,17.3696325145
 07/13  03:00:00,831.027206948,94.7147699866,451.53403812,0.0,46.0930336215,113.312780494,433.882721184,419.52317464,5.66466996096,8.69487658344
 07/13  04:00:00,928.302202691,94.7147699866,459.205235598,0.0,100.150657288,148.969399434,419.544776733,405.185187997,5.66466996096,8.69491877473
