Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 09/30  24:00:00,14.005920654,2.09834981492,0.0,0.0,1.85583932782,5.577,4.75833593003,0.0193304362056,3.0011,1.73790549383
 10/01  01:00:00,9.81419781157,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 10/01  02:00:00,9.83622794229,0.0,0.0,0.0,0.618613109274,5.0,3.59315243152,0.0,3.0011,0.592052431523
 10/01  03:00:00,9.84050688764,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 10/01  04:00:00,10.0013523383,0.0,0.0,0.0,0.618613109274,5.0,3.59315836616,0.0,3.0011,0.592058366163
 10/01  05:00:00,13.9081852279,2.09834981492,0.0,0.0,1.85583932782,5.577,5.47177227852,0.950122278516,4.50165,0.02
 10/01  06:00:00,27.7513347054,2.09834981492,0.0,0.0,3.71167865564,18.077,14.6699671712,0.0,13.50495,1.16501717125
 10/01  07:00:00,25.8185496516,2.09834981492,0.0,0.0,3.71167865564,18.077,22.17269799,0.0,21.0077,1.16499799004
 10/01  08:00:00,20.8359879109,2.09834981492,0.0,0.0,3.71167865564,13.077,16.1706187909,0.0,15.0055,1.16511879093
 10/01  09:00:00,20.8794315301,2.09834981492,0.0,0.0,3.71167865564,13.077,16.1706597023,0.0,15.0055,1.16515970227
 10/01  10:00:00,26.3713517814,2.09834981492,0.449065547325,0.0,3.71167865564,18.077,36.4744370897,0.0,33.0121,3.46233708973
 10/01  11:00:00,28.5902268253,2.09834981492,1.53371608738,0.0,3.71167865564,18.077,43.9772277353,0.0,40.51485,3.46237773528
 10/01  12:00:00,28.5866873177,2.09834981492,2.31685911905,0.0,3.71167865564,18.077,38.9000060347,0.0,36.0132,2.88680603473
 10/01  13:00:00,28.6126956517,2.09834981492,2.62241286192,0.0,3.71167865564,18.077,34.3983156905,0.0,31.51155,2.88676569046
 10/01  14:00:00,22.7896242299,2.09834981492,1.80637134916,0.0,3.71167865564,13.077,22.7465069395,0.0,21.0077,1.73880693954
 10/01  15:00:00,22.2276042329,2.09834981492,1.26468398902,0.0,3.71167865564,13.077,21.8192691264,0.0,19.50715,2.31211912641
 10/01  16:00:00,21.7512671508,2.09834981492,0.849272632335,0.0,3.71167865564,13.077,24.8205192455,0.0,22.50825,2.3122692455
 10/01  17:00:00,26.4681879229,2.09834981492,0.615887780004,0.0,3.71167865564,18.077,27.8228727884,0.0,25.50935,2.31352278838
 10/01  18:00:00,27.4882550349,2.09834981492,0.386825418153,0.0,3.71167865564,18.077,28.9716478517,0.0,25.50935,3.4622978517
 10/01  19:00:00,28.6446732381,2.09834981492,0.116560235708,0.0,3.71167865564,18.077,28.9711842452,0.0,25.50935,3.46183424523
 10/01  20:00:00,23.5075054349,2.09834981492,0.0,0.0,3.71167865564,13.077,25.3947051457,0.0,22.50825,2.88645514573
 10/01  21:00:00,23.4106901236,2.09834981492,0.0,0.0,3.71167865564,13.077,24.4691895137,0.0,21.0077,3.46148951372
 10/01  22:00:00,23.2817393272,2.09834981492,0.0,0.0,3.71167865564,13.077,20.3192330184,0.0,18.0066,2.31263301837
 10/01  23:00:00,24.4306192617,2.09834981492,0.0,0.0,3.71167865564,13.077,4.73904309495,0.0,3.0011,1.73794309495
 10/01  24:00:00,14.0175431351,2.09834981492,0.0,0.0,1.85583932782,5.577,4.75755511463,0.0181313321442,3.0011,1.73832378249
 10/02  01:00:00,9.82499087154,0.0,0.0,0.0,0.618613109274,5.0,3.59317854002,0.0,3.0011,0.592078540019
 10/02  02:00:00,9.85038985904,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
