Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 07/14  24:00:00,104.841995855,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  01:00:00,104.825621457,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  02:00:00,104.822902269,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  03:00:00,104.822109621,0.0,0.0,0.0,43.513341876,39.243024,13.4434299238,0.0,4.83426,8.60916992381
 07/15  04:00:00,105.314715108,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  05:00:00,102.309175115,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  06:00:00,87.3926981709,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  07:00:00,87.245612113,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  08:00:00,87.2657366168,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  09:00:00,87.3419750918,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  10:00:00,87.3616290469,0.0,0.0,0.0,43.513341876,39.243024,13.4486836361,0.0,4.83426,8.61442363609
 07/15  11:00:00,88.1720010836,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  12:00:00,87.3533262471,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  13:00:00,87.420374575,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  14:00:00,165.472309932,1.15613581511,75.9701169579,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  15:00:00,252.444138707,2.39098144972,160.649701187,0.0,43.513341876,39.243024,13.4435550097,0.0,4.83426,8.60929500974
 07/15  16:00:00,312.795835062,3.16979088905,219.685288326,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  17:00:00,257.287438541,2.40373841519,165.634602404,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  18:00:00,228.004299636,2.03241932109,137.104545029,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  19:00:00,87.6204300156,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  20:00:00,105.476145098,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
 07/15  21:00:00,105.189423511,0.0,0.0,0.0,43.513341876,39.243024,4.85426,0.0,4.83426,0.02
