Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/12  01:00:00,114.224355577,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/12  02:00:00,112.873653538,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923410741,0.0,2.335,1.16423410741
 06/12  03:00:00,111.724928052,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/12  04:00:00,118.339351937,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/12  05:00:00,113.804686879,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/12  06:00:00,148.413686432,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,78.7753452142,72.9411480229,4.67,1.16419719125
 06/12  07:00:00,166.574218141,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,94.1215914582,89.4315914582,4.67,0.02
 06/12  08:00:00,241.829844473,20.0892486702,0.00252814997514,0.0,34.9369000822,32.3179380704,81.6733262167,72.3362825399,8.1725,1.16454367687
 06/12  09:00:00,271.054591149,20.0892486702,0.00868108444897,0.0,62.886420148,41.4019203762,58.5080720343,47.9805720343,10.5075,0.02
 06/12  10:00:00,264.840013852,20.0892486702,0.0054292751376,0.0,62.886420148,41.4019203762,44.7826164607,33.1102946118,10.5075,1.16482184893
 06/12  11:00:00,290.07170085,20.0892486702,0.434528854261,0.0,62.886420148,41.4019203762,25.8042730076,14.1318460879,10.5075,1.16492691965
 06/12  12:00:00,278.570089521,20.0892486702,1.04007920285,0.0,62.886420148,41.4019203762,15.2018077091,3.5292967282,10.5075,1.16501098092
 06/12  13:00:00,278.516628142,20.0892486702,1.54583857978,0.0,62.886420148,41.4019203762,11.6725383709,0.0,10.5075,1.16503837091
 06/12  14:00:00,273.349550446,20.0892486702,2.00771716648,0.0,62.886420148,41.4019203762,11.6723574979,0.0,10.5075,1.16485749788
 06/12  15:00:00,268.513493814,20.0892486702,1.91519265707,0.0,62.886420148,41.4019203762,11.6723489348,0.0,10.5075,1.16484893484
 06/12  16:00:00,266.83639505,20.0892486702,1.30240516424,0.0,62.886420148,41.4019203762,11.6724032683,0.0,10.5075,1.16490326833
 06/12  17:00:00,265.431492181,20.0892486702,0.915589530101,0.0,62.886420148,41.4019203762,11.6722807632,0.0,10.5075,1.16478076317
 06/12  18:00:00,259.398840349,20.0892486702,0.165694686264,0.0,41.9242800987,36.8599292233,14.2857139141,4.92571391408,9.34,0.02
 06/12  19:00:00,250.462088643,20.0892486702,0.115834116918,0.0,41.9242800987,36.8599292233,29.4057444345,18.9010256451,9.34,1.16471878944
 06/12  20:00:00,234.486188614,20.0892486702,0.073075080334,0.0,34.9369000822,32.3179380704,38.6078672982,29.2706582181,8.1725,1.16470908016
 06/12  21:00:00,169.665358,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,11.9748116743,7.28481167427,4.67,0.02
 06/12  22:00:00,120.261493796,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49937337934,0.0,2.335,1.16437337934
 06/12  23:00:00,151.071413003,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/12  24:00:00,126.616406997,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/13  01:00:00,116.253526154,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/13  02:00:00,114.931060391,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924170282,0.0,2.335,1.16424170282
 06/13  03:00:00,113.846857712,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/13  04:00:00,137.898201056,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 06/13  05:00:00,133.956561592,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49921375995,0.0,2.335,1.16421375995
 06/13  06:00:00,169.507783144,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,71.7101660504,67.0201660504,4.67,0.02
 06/13  07:00:00,179.443784299,20.0892486702,0.0,0.0,13.9747600329,18.6919646116,91.1113688692,86.4213688692,4.67,0.02
 06/13  08:00:00,243.539846706,20.0892486702,0.0,0.0,34.9369000822,32.3179380704,78.8039457829,69.4669381519,8.1725,1.16450763097
 06/13  09:00:00,272.379482483,20.0892486702,0.00875064710516,0.0,62.886420148,41.4019203762,55.4522716863,44.9247716863,10.5075,0.02
 06/13  10:00:00,267.434276919,20.0892486702,0.193790736403,0.0,62.886420148,41.4019203762,38.3669838928,26.694631992,10.5075,1.16485190088
 06/13  11:00:00,291.755798617,20.0892486702,0.732679856604,0.0,62.886420148,41.4019203762,20.6553661007,8.98273387679,10.5075,1.16513222394
