Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 02/22  15:00:00,265.708170132,36.180655373,115.172823465,0.0,32.1804615127,55.9779621605,207.854763645,1.45773878563,66.8089,139.588124859
 02/22  16:00:00,266.384137126,36.1907530128,116.024664762,0.0,32.1804615127,55.9779621605,221.965488048,1.45254347982,75.1392,145.373744568
 02/22  17:00:00,296.216334838,36.0328812162,117.754833392,0.0,32.1804615127,60.9114621605,207.383563008,1.15816842707,91.7998,114.425594581
 02/22  18:00:00,339.149611703,35.4936786613,118.707539613,0.0,32.1804615127,77.5397301883,215.916010452,3.01445048454,49.9818,162.919759968
 02/22  19:00:00,400.075277742,35.5586858689,117.783957992,0.0,77.122965704,86.2600435998,347.266000647,3.16206292078,49.9818,294.122137727
 02/22  20:00:00,407.570531722,35.5754430921,117.868546925,0.0,102.647051061,80.1663183927,260.615685847,3.30862223374,33.3212,223.985863613
 02/22  21:00:00,432.480092105,35.5458619807,117.888016243,0.0,115.40909374,92.7192997104,253.253408283,3.84842964129,33.3212,216.083778642
 02/22  22:00:00,407.209074155,35.5957762941,116.356058533,0.0,102.647051061,94.1340635361,350.908613797,4.97694595437,24.9909,320.940767843
 02/22  23:00:00,342.067147607,35.6392051149,117.722046346,0.0,77.122965704,65.871452062,267.829809061,6.18371236358,16.6606,244.985496697
 02/22  24:00:00,276.721578389,35.5773786584,120.613911389,0.0,38.286128036,48.4199368926,149.622407661,10.1836492594,8.3303,131.108458401
 02/23  01:00:00,195.731443804,32.9787059088,80.3937540994,0.0,25.5240853573,30.610668775,117.637538927,6.00777317785,3.33212,108.297645749
 02/23  02:00:00,147.489954823,30.6428831815,42.637328952,0.0,19.418418834,29.3649097162,92.8741272752,9.01167463475,3.33212,80.5303326404
 02/23  03:00:00,175.460637483,32.200098333,76.678741014,0.0,12.7620426787,28.1191506574,95.0155734064,11.1619018225,3.33212,80.5215515839
 02/23  04:00:00,156.303517339,31.4214907572,58.4932321709,0.0,12.7620426787,28.1191506574,108.850219583,19.0350990957,3.33212,86.4830004869
 02/23  05:00:00,175.652482731,32.9787059088,69.5958933647,0.0,12.7620426787,28.1191506574,151.35924742,42.9026497035,3.33212,105.124477717
 02/23  06:00:00,193.032469448,32.9787059088,59.5138844116,0.0,25.5240853573,30.610668775,234.220818396,41.6190434066,8.3303,184.27147499
 02/23  07:00:00,325.845065962,33.4458704543,102.377180381,0.0,51.0481707146,78.1489452969,372.757653229,35.0433863682,16.6606,321.05366686
 02/23  08:00:00,390.376976314,35.3801600545,115.875904291,0.0,64.3609230253,109.708623606,481.602445828,25.8123092884,24.9909,430.799236539
 02/23  09:00:00,349.149191906,35.3628350433,116.786655146,0.0,51.0481707146,80.7689615957,373.86060964,10.899204146,33.3212,329.640205494
 02/23  10:00:00,321.10814496,35.8905228836,115.413317365,0.0,51.0481707146,71.0224615957,319.470331931,1.86081736272,66.8089,250.800614568
 02/23  11:00:00,272.76887064,35.9859357258,115.06697172,0.0,32.1804615127,65.7244621605,281.933502596,1.27054992294,83.4695,197.193452673
 02/23  12:00:00,273.236304656,36.0661768481,114.704721631,0.0,32.1804615127,65.7244621605,236.114495902,1.44131492043,83.4695,151.203680981
 02/23  13:00:00,272.349024497,36.1244610396,114.61300546,0.0,32.1804615127,65.7244621605,232.839431404,1.43577438171,83.4695,147.934157022
 02/23  14:00:00,263.47689225,36.1079076165,115.765454826,0.0,32.1804615127,55.9779621605,222.818098228,1.71066115185,75.1392,145.968237076
 02/23  15:00:00,264.635690307,36.1382392056,117.270629582,0.0,32.1804615127,55.9779621605,212.313157209,2.13748027412,66.8089,143.366776935
 02/23  16:00:00,265.879051635,36.1650373238,118.872571133,0.0,32.1804615127,55.9779621605,220.625330812,3.91403569492,75.1392,141.572095117
 02/23  17:00:00,296.162624098,35.9371716469,120.694977024,0.0,32.1804615127,60.9114621605,216.298726561,9.60588466391,91.7998,114.893041897
 02/23  18:00:00,336.240552929,35.4239293751,118.142050656,0.0,32.1804615127,77.5397301883,231.434190413,19.035012288,49.9818,162.417378125
 02/23  19:00:00,400.015901701,35.4625990002,119.651894658,0.0,77.122965704,86.2600435998,371.645540507,27.5900667759,49.9818,294.073673731
 02/23  20:00:00,408.091566986,35.4402705186,120.176800271,0.0,102.647051061,80.1663183927,287.758717973,30.487449137,33.3212,223.950068836
 02/23  21:00:00,432.552748265,35.4313242887,119.290463337,0.0,115.40909374,92.7192997104,278.184231545,28.8015141146,33.3212,216.06151743
 02/23  22:00:00,407.841200567,35.5001772803,118.090809822,0.0,102.647051061,94.1340635361,373.301294152,27.4388455133,24.9909,320.871548639
 02/23  23:00:00,342.890580295,35.5699333798,119.687513425,0.0,77.122965704,65.871452062,289.045016042,27.434454272,16.6606,244.94996177
 02/23  24:00:00,262.483732208,35.5213461885,107.486051079,0.0,38.286128036,48.4199368926,168.4109068,28.9802541476,8.3303,131.100352652
 02/24  01:00:00,181.075243151,31.4214907572,67.8944929567,0.0,25.5240853573,30.610668775,135.528272497,23.9182875574,3.33212,108.277864939
 02/24  02:00:00,176.493813129,32.200098333,69.9576650122,0.0,19.418418834,29.3649097162,105.189753469,21.3276530267,3.33212,80.5299804422
 02/24  03:00:00,154.978693741,30.6428831815,57.9837696844,0.0,12.7620426787,28.1191506574,102.969134078,19.1200220314,3.33212,80.5169920465
 02/24  04:00:00,179.981107035,32.9787059088,80.5213145265,0.0,12.7620426787,28.1191506574,103.865186412,17.2645161952,3.33212,83.2685502173
 02/24  05:00:00,186.504119511,32.9787059088,79.8176909343,0.0,12.7620426787,28.1191506574,124.475432949,15.6725052012,3.33212,105.470807748
 02/24  06:00:00,218.405384669,32.9787059088,84.0653048352,0.0,25.5240853573,30.610668775,210.135422019,14.336440173,8.3303,187.468681846
 02/24  07:00:00,323.513231978,33.4458704543,99.136321351,0.0,51.0481707146,78.1489452969,350.198306641,13.2258268315,16.6606,320.31187981
 02/24  08:00:00,393.769943127,35.3743301257,118.276808873,0.0,64.3609230253,109.708623606,471.758019751,15.4868108048,24.9909,431.280308946
 02/24  09:00:00,353.066916536,35.3231607301,120.405630029,0.0,51.0481707146,80.7689615957,375.268776064,15.6056563772,33.3212,326.341919687
 02/24  10:00:00,324.978722466,35.8849274644,120.673168824,0.0,51.0481707146,71.0224615957,332.779420112,12.1942408924,66.8089,253.77627922
 02/24  11:00:00,275.328624239,35.9726910556,119.197808823,0.0,32.1804615127,65.7244621605,286.207880056,5.55773146056,83.4695,197.180648596
 02/24  12:00:00,277.562458376,36.0268003455,120.448462487,0.0,32.1804615127,65.7244621605,232.21667367,2.42706279453,83.4695,146.320110876
 02/24  13:00:00,276.863420155,36.0811422373,120.351452877,0.0,32.1804615127,65.7244621605,236.188347221,2.14464880241,83.4695,150.574198419
